m,order,seasonal_order,aic,MAE,RMSE,MAPE,elapsed_sec,status
1,"(2, 0, 4)","(0, 0, 0, 0)",8653.67610211961,28.00645291026056,41.336715849326076,62.46377856896801,18.8,ok
2,"(1, 0, 0)","(0, 0, 1, 2)",8660.141242192598,26.73292851104289,40.261641684148586,58.40136393107785,9.93,ok
3,"(2, 0, 2)","(1, 0, 2, 3)",8654.80639520926,30.34526486043775,43.50329036070348,73.3754733431017,18.59,ok
4,"(1, 0, 1)","(0, 0, 0, 4)",8658.34129928895,25.953853280077343,39.65646486671932,55.382686371110324,16.76,ok
5,"(3, 0, 1)","(1, 0, 1, 5)",8655.155913416296,27.08915209173913,41.12352383176805,55.60828107897164,56.27,ok
6,"(2, 0, 4)","(0, 0, 0, 6)",8653.67610211961,28.00645291026056,41.336715849326076,62.46377856896801,40.19,ok
7,"(1, 0, 1)","(0, 0, 0, 7)",8658.34129928895,25.953853280077343,39.65646486671932,55.382686371110324,27.64,ok
8,"(1, 0, 1)","(0, 0, 0, 8)",8658.34129928895,25.953853280077343,39.65646486671932,55.382686371110324,23.44,ok
9,"(2, 0, 0)","(1, 0, 0, 9)",8656.046191140611,26.639281756193768,40.346398751779724,57.41132670874563,42.34,ok
10,"(2, 0, 4)","(0, 0, 0, 10)",8653.67610211961,28.00645291026056,41.336715849326076,62.46377856896801,48.78,ok
11,"(1, 0, 1)","(0, 0, 0, 11)",8658.34129928895,25.953853280077343,39.65646486671932,55.382686371110324,23.75,ok
12,"(2, 0, 0)","(0, 0, 1, 12)",8658.411300425129,26.294672988538554,39.96646172922734,56.763535457391065,35.94,ok
13,"(1, 0, 1)","(0, 0, 0, 13)",8658.34129928895,25.953853280077343,39.65646486671932,55.382686371110324,26.14,ok
14,"(2, 0, 0)","(1, 0, 0, 14)",8657.952425205025,26.323470918720794,40.06031533607069,56.61461620951296,57.47,ok
15,"(2, 0, 4)","(0, 0, 0, 15)",8653.67610211961,28.00645291026056,41.336715849326076,62.46377856896801,53.61,ok
16,"(2, 0, 4)","(0, 0, 0, 16)",8653.67610211961,28.00645291026056,41.336715849326076,62.46377856896801,57.56,ok
17,"(1, 0, 1)","(0, 0, 0, 17)",8658.34129928895,25.953853280077343,39.65646486671932,55.382686371110324,31.97,ok
18,"(1, 0, 1)","(0, 0, 0, 18)",8658.34129928895,25.953853280077343,39.65646486671932,55.382686371110324,36.48,ok
19,"(1, 0, 1)","(0, 0, 0, 19)",8658.34129928895,25.953853280077343,39.65646486671932,55.382686371110324,35.31,ok
20,"(1, 0, 1)","(0, 0, 0, 20)",8658.34129928895,25.953853280077343,39.65646486671932,55.382686371110324,34.43,ok
21,"(1, 0, 1)","(0, 0, 0, 21)",8658.34129928895,25.953853280077343,39.65646486671932,55.382686371110324,35.55,ok
22,"(1, 0, 1)","(0, 0, 0, 22)",8658.34129928895,25.953853280077343,39.65646486671932,55.382686371110324,39.08,ok
23,"(1, 0, 4)","(1, 0, 1, 23)",8656.33800733272,28.544634122633422,41.825137011714354,66.76468000440032,329.83,ok
24,"(2, 0, 4)","(0, 0, 0, 24)",8653.67610211961,28.00645291026056,41.336715849326076,62.46377856896801,80.88,ok
25,"(1, 0, 1)","(0, 0, 0, 25)",8658.34129928895,25.953853280077343,39.65646486671932,55.382686371110324,49.96,ok
26,"(1, 0, 1)","(0, 0, 0, 26)",8658.34129928895,25.953853280077343,39.65646486671932,55.382686371110324,49.85,ok
27,"(2, 0, 4)","(0, 0, 0, 27)",8653.67610211961,28.00645291026056,41.336715849326076,62.46377856896801,103.41,ok
28,"(1, 0, 1)","(0, 0, 0, 28)",8658.34129928895,25.953853280077343,39.65646486671932,55.382686371110324,59.79,ok
29,"(1, 0, 1)","(0, 0, 0, 29)",8658.34129928895,25.953853280077343,39.65646486671932,55.382686371110324,63.41,ok
30,"(1, 0, 1)","(0, 0, 0, 30)",8658.34129928895,25.953853280077343,39.65646486671932,55.382686371110324,65.97,ok
31,"(1, 0, 1)","(0, 0, 0, 31)",8658.34129928895,25.953853280077343,39.65646486671932,55.382686371110324,66.9,ok
